life_expectancy_years,child_mortality_0_5_year_olds_dying_per_1000_born,children_and_elderly_per_100_adults,children_per_woman_total_fertility,crude_death_rate_deaths_per_1000_population,income_per_person_gdppercapita_ppp_inflation_adjusted,population_growth_annual_percent_with_projections,population_total,life_expectancy_sex_ratio,population_sex_ratio,country
63.09,73.21,79.884,4.32,8.465,1478.0,2.432,7990926.0,0.971869873804226,0.994366505114246,tgo
78.15,11.374,40.321,1.45,8.129,16914.0,0.194,69183173.0,0.906329050201991,0.9504935963001304,tha
72.19,41.397,62.316,3.27,5.099,2922.0,2.035,9107211.0,0.919845433443802,1.0082052921719955,tjk
73.37,18.044,44.674,1.73,9.882,30332.0,0.23,1372598.0,0.9044304985651836,0.96927703324089,tto
77.96,12.561,46.704,2.15,6.31,11599.0,1.077,11659174.0,0.9477284642039716,0.9766469592661544,tun
79.61,11.882,48.79,2.02,5.846,24881.0,1.354,81916871.0,0.9190338942519476,0.9717439628134888,tur
65.46,54.171,92.575,4.89,6.29,2780.0,3.049,59091392.0,0.9504137055467188,0.9790917198419872,tza
62.86,52.318,98.989,5.41,8.365,1818.0,3.218,44270563.0,0.929548247083792,0.990010204347211,uga
72.29,8.515,47.892,1.56,14.847,8327.0,-0.486,44009214.0,0.8725654300803197,0.8600835771963106,ukr
77.57,8.58,55.436,1.97,9.388,21254.0,0.366,3469551.0,0.9148361807558612,0.9353665679334638,ury
79.14,6.056,52.992,1.9,8.359,54898.0,0.709,326766748.0,0.9449244587635156,0.9804640315107644,usa
70.5,24.335,50.483,2.23,5.883,6688.0,1.386,32364996.0,0.9241413625238698,0.9943454632115272,uzb
75.91,15.389,51.563,2.27,5.698,14211.0,1.24,32381221.0,0.8972040617610239,0.988694288492878,ven
74.88,20.162,43.78,1.95,5.857,6553.0,0.979,96491146.0,0.8867036932133049,0.9798850248062356,vnm
67.14,51.875,73.133,3.79,6.299,2434.0,2.299,28915284.0,0.9551973202135456,1.0206000637165802,yem
63.5,39.759,51.51,2.4,9.437,12321.0,1.174,57398421.0,0.8952362595815974,0.9631709282383522,zaf
59.45,59.495,93.023,4.87,7.451,3865.0,2.962,17609178.0,0.9155931581040972,0.9849334255845678,zmb
60.18,55.539,79.268,3.61,7.692,1952.0,2.27,16913261.0,0.9401976729638432,0.9506304303072486,zwe
78.01,12.913,46.123,1.71,7.716,12424.0,0.14,2934363.0,0.9499114408511588,1.0180204405424491,alb
76.89,7.115,18.615,1.72,1.683,68231.0,1.478,9541615.0,0.9720413247176946,2.579451716139662,are
77.18,7.1,30.564,1.99,2.39,44330.0,4.645,1566993.0,0.9747742454625572,1.730468450509852,bhr
77.36,9.11,37.791,1.85,3.712,76943.0,1.226,434076.0,0.9585310449268046,1.0597075124321451,brn
62.42,89.977,94.027,5.92,9.448,751.0,3.207,84004989.0,0.9507503630789093,0.9960935915583368,cod
80.79,2.446,42.828,1.34,7.018,32205.0,0.794,1189085.0,0.9495405099013482,1.0011460729750608,cyp
69.09,33.997,39.508,2.41,4.906,,2.63,567421.0,0.9493156009662104,1.0994646035217026,esh
82.09,5.262,58.829,1.92,8.189,,-0.086,449173.0,0.9224664727837892,0.8624128237235569,glp
78.21,10.523,62.253,3.25,3.048,,2.436,289763.0,0.9276370954217676,0.9996687622057676,guf
72.91,9.673,51.958,2.31,5.198,,0.91,165718.0,0.941939086417655,1.0250015274637991,gum
83.75,2.182,41.649,1.34,6.927,56269.0,0.847,7428887.0,0.9321532570563824,0.8476287851618324,hkg
68.02,29.174,78.324,4.25,4.889,15867.0,2.717,39339753.0,0.9364142723211824,1.0255938003054783,irq
76.65,16.662,62.357,3.24,3.834,8452.0,1.859,9903802.0,0.9542498200615062,1.0259471352842338,jor
79.96,7.993,33.968,1.95,2.886,68359.0,1.341,4197128.0,0.970058859772164,1.3482718587833773,kwt
75.47,12.23,51.133,2.2,5.212,18254.0,1.508,6470956.0,0.922807250514574,1.015999434232839,lby
76.57,12.397,46.073,1.44,7.555,10887.0,0.448,179667.0,0.9316779667485022,0.9584791305580084,lca
75.17,11.206,43.241,1.55,9.918,13956.0,0.085,2085051.0,0.947923339055574,0.9995281815618724,mkd
77.35,3.729,49.598,1.65,10.011,16606.0,0.031,629219.0,0.9409603811434304,0.9741070168007906,mne
82.51,6.013,59.678,1.88,8.664,,0.055,385065.0,0.9294011463669076,0.8334904627222428,mtq
77.31,13.156,47.911,2.13,6.807,,1.273,279821.0,0.9316983812478972,1.013680392636624,ncl
79.08,6.167,50.415,1.46,8.03,32564.0,-0.111,3659007.0,0.9111216956418196,0.9258072309068028,pri
72.19,18.625,73.931,3.88,3.468,2704.0,2.633,5052776.0,0.9482915507259756,1.0288935779779675,pse
77.24,6.1,42.362,1.98,5.603,,0.962,285859.0,0.943463119648986,1.0361136833107771,pyf
80.75,4.032,51.651,2.27,5.961,,0.756,883247.0,0.9239357324331738,0.9386926842116816,reu
77.64,11.998,45.057,2.45,3.615,50114.0,1.793,33554343.0,0.9595831811779436,1.3396032879906343,sau
63.57,23.444,71.932,3.74,4.638,2106.0,1.918,623281.0,0.9568854392364444,1.0340108082706767,slb
69.82,17.593,62.425,2.82,5.165,2900.0,0.624,18284407.0,0.8561655285932899,1.0188523811837242,syr
70.48,50.13,47.274,2.79,7.046,17856.0,1.577,5851466.0,0.9024782074206524,0.9700233987038128,tkm
70.7,16.058,70.035,3.56,5.938,5499.0,0.927,109008.0,0.9203042761004476,1.0071433831651817,ton
72.03,16.259,45.948,1.89,7.344,11362.0,0.268,110200.0,0.9414422746610998,1.0166541607950077,vct
75.02,9.61,64.815,2.18,8.713,,0.004,104914.0,0.9444963989457958,0.9099961770220822,vir
64.3,26.014,67.502,3.2,4.774,2896.0,2.087,282117.0,0.9402155765403571,1.0234032634032637,vut
72.38,16.726,72.452,3.88,4.977,5950.0,0.625,197695.0,0.921202801113328,1.066036848540585,wsm
77.93,5.491,43.799,1.39,11.29,12052.0,-0.075,3503554.0,0.9374380714670948,0.9648156747153356,bih
81.06,8.329,48.892,1.49,9.069,,0.456,166083.0,0.9592728586047072,0.984514093847459,chanisl
83.24,3.488,32.998,1.36,3.93,97057.0,1.544,632418.0,0.9321755510377544,0.924050709932977,mac
71.13,18.166,42.084,1.89,9.064,1387.0,0.462,25610672.0,0.9064784405127664,0.957461823233523,prk
73.34,44.524,91.04,5.28,5.324,1487.0,2.116,1324094.0,0.9480404922921828,1.0317493198547183,tls
76.14,15.762,44.318,1.8,9.051,39219.0,0.373,105670.0,0.9378415213542396,0.9034280258678148,abw
77.6,7.894,44.86,2.03,5.8,21035.0,1.005,103050.0,0.9383256567292604,0.9234918620277736,atg
71.86,14.63,50.986,2.06,7.094,13505.0,0.462,108339.0,0.935144472361809,1.009944525872465,grd
62.23,52.532,64.731,3.57,6.944,1888.0,1.702,118414.0,0.9050094248015078,0.9727271212701798,kir
74.23,12.674,45.796,2.25,8.33,27546.0,0.507,95235.0,0.8852152927727677,0.9719651324098806,syc
65.8,32.766,60.715,3.05,6.235,3409.0,0.677,106227.0,0.9654376901847002,1.0521211652886175,fsm
80.3,4.027,79.145,3.69,2.45,,2.568,259682.0,0.9239265267175572,0.967534927417644,myt
